sim_id,a_total_earnings,b_total_earnings,joint_earnings,efficiency,a_coop_rate,b_coop_rate,mutual_coop_rounds,mutual_defect_rounds,a_exploit_rounds,b_exploit_rounds,a_first_defect_round,b_first_defect_round,a_endgame_defects,b_endgame_defects,a_invalids,b_invalids,a_choices,b_choices
19,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
20,23,23,46,0.7666666666666667,0.6,0.6,5,3,1,1,2,1,0,0,0,0,"cooperate,defect,defect,defect,defect,cooperate,cooperate,cooperate,cooperate,cooperate","defect,defect,defect,cooperate,defect,cooperate,cooperate,cooperate,cooperate,cooperate"
21,28,28,56,0.9333333333333333,0.9,0.9,9,1,0,0,1,1,0,0,0,0,"defect,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","defect,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
22,11,21,32,0.5333333333333333,0.3,0.1,0,6,1,3,2,1,2,3,0,0,"cooperate,defect,defect,defect,cooperate,defect,defect,cooperate,defect,defect","defect,defect,defect,cooperate,defect,defect,defect,defect,defect,defect"
23,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
24,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
25,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
26,22,22,44,0.7333333333333333,0.4,0.4,0,2,4,4,1,2,3,2,0,0,"defect,cooperate,cooperate,defect,defect,cooperate,cooperate,defect,defect,defect","cooperate,defect,defect,cooperate,cooperate,defect,defect,cooperate,defect,defect"
27,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
28,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
29,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,0,0,"cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate","cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate,cooperate"
